,BP10,BP11,BP12,BP13,BP2,BP3,BP4,BP5,BP6/DT1,BP7,BP8,BP9,CC10/DT26,CC11,CC12,CC14,CC16,CC17/TE9,CC19/DT9,CC2,CC20,CC21,CC23,CC24,CC25,CC26,CC27,CC28,CC3,CC4/DT15,CC5,CC6,CC7,CC8,CE1/DT16,CG1/DT35,CG2,DT10,DT10/TE11,DT13,DT17,DT18,DT2,DT20,DT21,DT22,DT23,DT24,DT25,DT27,DT28,DT29,DT3,DT30,DT31,DT33,DT34,DT5,DT6,DT7,DT8,EW1,EW10,EW11,EW12/DT14,EW14/NS26,EW15,EW16/NE3/TE17,EW17,EW18,EW19,EW2/DT32,EW20,EW21/CC22,EW22,EW23,EW24/NS1,EW25,EW26,EW27,EW28,EW29,EW3,EW30,EW31,EW32,EW33,EW4,EW5,EW6,EW7,EW8/CC9,EW9,NE1/CC29,NE10,NE11,NE12/CC13,NE13,NE14,NE15,NE16/STC,NE17/PTC,NE4/DT19,NE5,NE7/DT12,NE8,NE9,NS10,NS11,NS12,NS13,NS14,NS15,NS16,NS17/CC15,NS18,NS19,NS2,NS20,NS21/DT11,NS23,NS24/NE6/CC1,NS25/EW13,NS27/CE2/TE20,NS28,NS3,NS4/BP1,NS5,NS7,NS8,NS9/TE2,PB6/DT1,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PW1,PW2,PW3,PW4,PW5,PW6,PW7,SE1,SE2,SE3,SE4,SE5,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,TE1,TE11,TE12,TE13,TE14/NS22,TE15,TE16,TE18,TE19,TE22,TE23,TE24,TE25,TE26,TE27,TE28,TE29,TE3,TE4,TE5,TE6,TE7,TE8
2024-03,2040.4347826086957,2423.9347826086955,1986.2173913043478,870.5,2019.7391304347825,2928.913043478261,1668.108695652174,1364.2826086956522,24903.333333333332,598.1739130434783,1138.2173913043478,1352.8958333333333,10006.583333333334,11231.395833333334,4402.208333333333,4814.791666666667,5035.166666666667,4337.166666666667,4433.479166666667,3734.0,3345.4583333333335,6231.270833333333,8556.0,12625.0625,4078.4583333333335,2951.2708333333335,3669.8541666666665,1645.5,5864.75,12595.354166666666,3237.2916666666665,12099.666666666666,4859.1875,5983.208333333333,23944.979166666668,10293.875,14409.458333333334,0.0,5030.145833333333,7087.5625,10303.5,8434.104166666666,1818.0416666666667,3674.3125,5007.104166666667,6352.9375,2946.2291666666665,3379.4791666666665,2876.0625,5628.916666666667,6980.458333333333,4753.520833333333,5012.083333333333,5119.145833333333,5135.8125,11121.791666666666,3313.9375,8884.833333333334,4391.75,2448.0416666666665,3032.5208333333335,18181.333333333332,8244.354166666666,11578.0625,36250.354166666664,30021.1875,21399.708333333332,19250.458333333332,15245.395833333334,11104.395833333334,10430.541666666666,32450.416666666668,8046.979166666667,16159.75,4819.583333333333,28321.0,42609.395833333336,6686.270833333333,21289.208333333332,28064.083333333332,18906.3125,9555.4375,10646.270833333334,2562.0416666666665,2972.6875,3171.0833333333335,2983.6666666666665,10001.645833333334,20506.0625,6807.166666666667,9455.645833333334,31700.9375,14530.604166666666,30575.375,9891.541666666666,8293.916666666666,35647.0,13967.708333333334,19348.208333333332,12829.458333333334,26405.895833333332,26423.208333333332,31598.895833333332,8423.625,17582.895833333332,18608.708333333332,14464.625,26015.833333333332,24799.1875,10335.833333333334,32602.5625,20947.979166666668,11208.0,26838.1875,25991.020833333332,9048.979166666666,22117.979166666668,16760.354166666668,22984.104166666668,35037.125,19676.041666666668,20574.125,30085.3125,3135.6875,1568.0208333333333,12603.770833333334,22341.25,18310.791666666668,17562.645833333332,13267.75,33244.958333333336,0.0,2195.6666666666665,3352.9791666666665,3641.5833333333335,1086.2083333333333,3538.4791666666665,4232.979166666667,2908.3958333333335,984.4791666666666,0.0,1073.3333333333333,3224.7291666666665,2006.8125,1009.875,1722.3333333333333,2658.1041666666665,3393.6041666666665,1917.0833333333333,2142.7916666666665,1683.0416666666667,1643.7083333333333,2727.3541666666665,1456.8125,1645.8541666666667,4969.4375,2364.6458333333335,1619.9583333333333,1308.2083333333333,2695.8333333333335,0.0,2595.2916666666665,2061.0833333333335,38926.083333333336,4348.229166666667,4146.6875,5342.479166666667,4420.479166666667,1808.6041666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6059.25,2946.3333333333335,2674.0,6227.104166666667,3773.8958333333335,5754.8125
2024-04,2046.5434782608695,2419.1521739130435,2043.2608695652175,872.2608695652174,2028.8695652173913,2865.127659574468,2445.913043478261,1366.695652173913,24246.958333333332,602.5106382978723,1147.0,1367.9782608695652,9762.291666666666,11060.729166666666,4550.0,4676.145833333333,5008.208333333333,4414.9375,4158.229166666667,3013.2708333333335,3306.9375,6017.041666666667,8631.458333333334,12296.875,4060.2708333333335,2990.9583333333335,3738.8333333333335,1989.9375,4938.6875,11999.0,2815.6875,7302.729166666667,4538.041666666667,6006.333333333333,20805.229166666668,9094.125,12880.916666666666,0.0,5141.958333333333,6513.479166666667,10616.291666666666,8656.416666666666,1808.0208333333333,3529.3333333333335,4613.625,5939.9375,2835.2708333333335,3317.7291666666665,2869.2083333333335,5784.604166666667,6870.4375,4722.958333333333,4796.520833333333,5058.583333333333,5290.5,10903.541666666666,3257.8958333333335,8740.25,4760.0,2382.1458333333335,3280.3541666666665,17387.1875,7491.9375,10901.125,32469.583333333332,30041.25,21261.229166666668,19240.875,14920.9375,10924.25,10257.833333333334,31314.791666666668,7933.875,15757.416666666666,6979.3125,28502.208333333332,40852.520833333336,6648.354166666667,21027.0625,27496.229166666668,18489.458333333332,9391.333333333334,10363.9375,2598.0,2971.3958333333335,3181.2708333333335,3011.0625,9885.125,19848.3125,6496.4375,9030.083333333334,29978.583333333332,14054.6875,28083.208333333332,9815.125,8092.5,34314.833333333336,13508.625,18845.625,12639.354166666666,26070.145833333332,25822.375,29512.979166666668,8127.416666666667,16970.020833333332,17743.520833333332,14215.604166666666,25578.895833333332,24322.958333333332,10105.5,31828.979166666668,20759.270833333332,13481.979166666666,26279.9375,25643.520833333332,8914.375,21540.770833333332,16496.083333333332,22187.333333333332,33393.75,18284.770833333332,19315.5625,27856.083333333332,3177.2083333333335,1310.2916666666667,12284.645833333334,22246.6875,18349.625,16853.645833333332,13130.458333333334,32819.625,0.0,2180.75,3374.875,3600.5625,1072.3541666666667,3577.9166666666665,4196.291666666667,2871.625,891.4583333333334,0.0,1101.5625,3095.4166666666665,1997.875,1030.75,1723.5416666666667,2707.3958333333335,3325.2708333333335,1920.5625,2127.2916666666665,1754.4375,1648.8125,2731.5208333333335,1494.5416666666667,1693.3125,4907.083333333333,2388.7291666666665,1622.625,1301.0625,4351.875,0.0,2512.875,2090.0,35610.604166666664,4266.020833333333,3869.8958333333335,4992.291666666667,4478.1875,1616.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6282.1875,2918.5625,2645.75,6300.8125,3879.5,5588.895833333333
2024-05,2017.872340425532,2418.0434782608695,2029.1304347826087,873.3695652173913,2016.3478260869565,2954.195652173913,2317.5652173913045,1387.7391304347825,24767.770833333332,590.195652173913,1162.2173913043478,1396.3260869565217,9960.5,11304.104166666666,4356.5,4532.770833333333,4938.895833333333,4467.979166666667,4097.458333333333,2595.7708333333335,3257.0833333333335,6027.875,8645.354166666666,11201.770833333334,4220.291666666667,3108.1041666666665,3910.75,2234.2916666666665,5085.145833333333,12201.770833333334,2816.875,6465.104166666667,4332.6875,6004.104166666667,22407.8125,9439.25,13513.645833333334,0.0,5021.229166666667,6421.604166666667,10527.583333333334,8650.9375,1837.6875,3668.3125,4351.458333333333,6103.083333333333,2834.75,3405.2708333333335,2809.7916666666665,5794.729166666667,6958.458333333333,4800.604166666667,4916.458333333333,5188.979166666667,5407.9375,11091.145833333334,3112.0625,8941.8125,4535.604166666667,2374.1666666666665,2994.3333333333335,17801.416666666668,7442.25,10805.520833333334,33617.479166666664,30176.1875,21479.791666666668,19501.895833333332,15117.75,10942.395833333334,10304.9375,32216.229166666668,7984.666666666667,15825.208333333334,8186.6875,28717.8125,42315.8125,6826.791666666667,21462.0,28008.833333333332,18560.291666666668,9606.3125,10532.708333333334,2631.0,3039.3958333333335,3170.8125,3164.4791666666665,9962.458333333334,20461.916666666668,6624.5625,9284.604166666666,30079.916666666668,14192.333333333334,29359.4375,9824.458333333334,8415.5,34951.458333333336,13677.895833333334,19098.708333333332,12906.0,26682.354166666668,26678.375,30102.979166666668,8207.333333333334,17510.3125,18394.1875,14403.958333333334,26055.1875,24785.833333333332,10377.958333333334,32791.416666666664,21283.979166666668,14223.375,26649.208333333332,25801.229166666668,9091.270833333334,21995.5625,16923.395833333332,22544.208333333332,33970.4375,18926.854166666668,19682.395833333332,28322.229166666668,3164.0416666666665,1324.7916666666667,12517.104166666666,22615.041666666668,18733.875,17241.479166666668,13482.020833333334,34027.5625,0.0,2196.5208333333335,3393.3958333333335,3696.9791666666665,1079.0208333333333,3584.6458333333335,4299.041666666667,2950.3125,935.8333333333334,0.0,1056.875,3236.125,2019.9791666666667,1040.625,1747.6666666666667,2697.2291666666665,3359.3125,1944.9583333333333,2146.7291666666665,1737.5416666666667,1703.6041666666667,3210.3958333333335,1476.6041666666667,1767.4166666666667,5026.104166666667,2353.2291666666665,1635.8125,1286.4166666666667,5399.666666666667,0.0,2612.9375,2159.6458333333335,37525.625,4371.416666666667,3990.6666666666665,5181.3125,4594.9375,1922.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6647.958333333333,3000.375,2756.2083333333335,6465.333333333333,3880.6041666666665,5840.1875
2024-06,1837.4565217391305,2133.086956521739,1704.9787234042553,799.4782608695652,1813.4782608695652,2661.586956521739,1226.4347826086957,1218.4782608695652,16431.916666666668,509.2608695652174,1010.6739130434783,1280.2391304347825,9390.5625,10623.3125,3525.0,3697.3958333333335,4130.625,3602.6666666666665,3809.3541666666665,2485.6875,2859.75,5429.833333333333,7707.020833333333,9995.104166666666,3867.0625,2897.0208333333335,3635.9791666666665,2164.5833333333335,5443.770833333333,12172.729166666666,2827.7916666666665,6442.916666666667,3947.3958333333335,4918.458333333333,23795.104166666668,8446.520833333334,13439.041666666666,726.0625,2913.9166666666665,5887.916666666667,9906.416666666666,7984.958333333333,1556.8333333333333,3466.1458333333335,4084.6458333333335,5806.333333333333,2636.5625,3208.2916666666665,2531.0625,5280.75,6505.5,4394.416666666667,4456.520833333333,4727.1875,4893.541666666667,10064.666666666666,2851.0625,8174.145833333333,3536.0208333333335,1973.8125,2128.0208333333335,17064.125,7195.979166666667,10250.375,33131.4375,28830.208333333332,20147.708333333332,18326.5,14141.270833333334,10086.020833333334,9537.854166666666,30487.666666666668,7439.166666666667,14296.541666666666,4954.75,25975.166666666668,40011.979166666664,6238.416666666667,19551.083333333332,25744.020833333332,16881.770833333332,9039.208333333334,9824.6875,2446.5833333333335,2919.5625,3104.9791666666665,3111.5833333333335,8984.770833333334,19221.0,6100.5,8800.291666666666,28765.229166666668,13374.25,28735.916666666668,8753.520833333334,7298.0625,32330.208333333332,12490.708333333334,17592.6875,11923.25,24467.0,24722.875,28895.375,7814.791666666667,16520.354166666668,17352.583333333332,13373.708333333334,23750.3125,22853.1875,9521.520833333334,30391.541666666668,19656.3125,11167.229166666666,24819.208333333332,21778.979166666668,8335.270833333334,20581.916666666668,15655.458333333334,21261.291666666668,31784.729166666668,18361.791666666668,19465.145833333332,28864.833333333332,3240.375,1360.9166666666667,11572.270833333334,20987.520833333332,17168.708333333332,17150.4375,12400.708333333334,31887.708333333332,6229.5625,1951.5416666666667,2982.4375,3222.2291666666665,938.5833333333334,3131.125,3860.9583333333335,2605.2083333333335,959.3541666666666,0.35714285714285715,1040.25,2947.8958333333335,1764.8333333333333,908.6875,1564.0833333333333,2347.6875,3006.75,1738.3541666666667,1991.0,1490.3333333333333,1603.5416666666667,3156.6458333333335,1291.5416666666667,1665.7916666666667,4581.166666666667,2069.0833333333335,1457.7291666666667,1153.1875,3117.0416666666665,608.9166666666666,2469.3333333333335,2128.6458333333335,36973.3125,4255.770833333333,3886.7708333333335,5253.354166666667,4569.041666666667,2307.3333333333335,438.9791666666667,456.1666666666667,440.4583333333333,2001.1041666666667,928.5208333333334,600.7916666666666,559.8333333333334,5973.854166666667,2894.4166666666665,2605.5625,5854.1875,3302.3333333333335,5548.020833333333
2024-07,1969.9130434782608,2349.3695652173915,1922.872340425532,827.7826086956521,1962.3260869565217,2771.127659574468,2046.6382978723404,1283.4893617021276,23370.083333333332,568.7234042553191,1115.468085106383,1372.9347826086957,9572.6875,10932.3125,4290.3125,4175.416666666667,4866.375,4350.625,3819.2291666666665,2646.2708333333335,3102.25,5567.083333333333,8317.583333333334,11375.833333333334,4135.604166666667,3019.125,3908.5833333333335,2176.625,5406.3125,12080.395833333334,2735.2708333333335,4950.333333333333,4035.8333333333335,5062.208333333333,21717.833333333332,9028.645833333334,12677.916666666666,0.0,5075.5625,5993.6875,10592.4375,8544.166666666666,1805.1458333333333,3604.7916666666665,4312.875,5494.083333333333,2746.9166666666665,3272.7708333333335,2695.7916666666665,5546.854166666667,6489.604166666667,4544.416666666667,4619.3125,4923.5,5122.270833333333,10664.895833333334,2962.6666666666665,8436.770833333334,4436.75,2162.5625,3035.8333333333335,17315.3125,6975.979166666667,10466.5625,31996.041666666668,31235.104166666668,20937.333333333332,19861.5,14326.5,10534.104166666666,9844.958333333334,30723.041666666668,7749.395833333333,15535.916666666666,7890.583333333333,27333.1875,38923.770833333336,6192.229166666667,19814.604166666668,25339.354166666668,17601.5,8982.6875,10036.645833333334,2445.3333333333335,2910.1875,2958.2291666666665,2899.4166666666665,9292.25,18697.8125,6150.916666666667,8711.125,27577.354166666668,13417.375,28283.958333333332,9451.229166666666,7588.083333333333,32703.270833333332,12902.333333333334,18215.25,12263.25,24746.666666666668,25326.0625,28838.958333333332,8223.3125,15809.1875,16096.0625,13611.604166666666,24577.604166666668,23371.0,9754.416666666666,30608.0,20498.020833333332,13394.9375,24755.0625,24473.229166666668,8555.458333333334,20867.625,16024.625,21633.229166666668,31929.6875,17808.041666666668,18855.395833333332,28924.3125,3494.1041666666665,1101.4375,11957.520833333334,21228.3125,17747.583333333332,16272.479166666666,12674.583333333334,31924.729166666668,0.0,2086.7708333333335,3233.0833333333335,3439.0625,995.0833333333334,3439.1666666666665,4005.1041666666665,2427.2083333333335,877.0625,0.0,1096.875,2884.4166666666665,1775.5,965.1666666666666,1635.1875,2554.5208333333335,3171.4583333333335,1839.5416666666667,2048.5833333333335,1687.1666666666667,1696.25,3273.4583333333335,1450.1458333333333,1780.2083333333333,4701.541666666667,2275.0,1534.3333333333333,1202.125,5092.208333333333,0.0,2704.3125,2311.4375,36081.541666666664,4581.125,4407.3125,5950.854166666667,5787.708333333333,2154.2708333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6543.1875,3078.625,2773.25,6359.083333333333,3677.3958333333335,5629.6875
2024-08,2035.6304347826087,2444.586956521739,2076.782608695652,849.8510638297872,2055.3695652173915,2959.6521739130435,2312.586956521739,1405.0,24790.729166666668,597.1702127659574,1173.108695652174,1446.0,9984.083333333334,11143.4375,4504.1875,4618.541666666667,4963.75,4711.791666666667,4300.354166666667,3243.625,3414.4375,6127.104166666667,8624.791666666666,13877.541666666666,4731.770833333333,3164.9166666666665,3905.375,2359.8541666666665,5621.375,12913.75,2945.0416666666665,5517.958333333333,4216.75,5463.75,23483.8125,9353.291666666666,13770.770833333334,0.0,5396.4375,6776.4375,10869.6875,8765.354166666666,1951.0416666666667,3846.1875,4943.729166666667,6014.541666666667,2879.2916666666665,3439.4166666666665,2804.125,5829.729166666667,6841.4375,4732.3125,5015.25,5191.5,5326.8125,11155.0,3041.1875,8947.604166666666,4542.979166666667,2403.8333333333335,3184.3333333333335,18167.0625,7410.416666666667,11062.916666666666,33759.791666666664,32186.0625,21541.75,20099.645833333332,15068.958333333334,11031.854166666666,10452.6875,32531.541666666668,8217.479166666666,16681.75,6112.1875,28898.854166666668,41410.791666666664,6823.5625,21350.395833333332,27871.1875,19811.479166666668,9309.125,10600.520833333334,2512.6041666666665,3034.2916666666665,3139.875,3076.8333333333335,9938.291666666666,19507.104166666668,6517.916666666667,9123.666666666666,29047.395833333332,14219.979166666666,30608.625,9947.0,8319.520833333334,34540.083333333336,13772.0,19085.145833333332,13081.145833333334,26084.3125,27184.770833333332,31122.916666666668,8744.708333333334,17481.145833333332,17711.5,14372.416666666666,25507.5,24623.333333333332,10257.083333333334,31921.020833333332,21481.604166666668,12219.270833333334,25801.770833333332,25901.166666666668,8959.854166666666,21796.375,16591.666666666668,22585.0625,34141.895833333336,19877.666666666668,20550.479166666668,30809.708333333332,3743.3958333333335,1285.2291666666667,12528.270833333334,22183.875,18420.604166666668,17321.291666666668,13204.395833333334,33135.708333333336,0.0,2180.7291666666665,3408.6458333333335,3712.0416666666665,1039.3333333333333,3607.1875,4273.333333333333,2487.3125,950.2083333333334,0.0,1196.4583333333333,3102.3333333333335,1910.2916666666667,1010.0208333333334,1750.9791666666667,2680.625,3319.25,1930.9791666666667,2165.2916666666665,1743.625,1777.0208333333333,3378.1875,1469.6666666666667,1885.6458333333333,4934.645833333333,2410.2291666666665,1616.25,1261.5,4207.166666666667,0.0,2978.5,2618.4791666666665,39055.479166666664,5005.4375,4696.708333333333,6551.0625,6110.083333333333,2464.6458333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6867.416666666667,3268.0,2986.1458333333335,6776.770833333333,3952.1875,6017.479166666667
2024-09,1966.304347826087,2270.1875,1970.9782608695652,842.195652173913,2003.9782608695652,2832.723404255319,1466.7021276595744,1373.195652173913,25800.375,587.9565217391304,1128.304347826087,1378.2608695652175,10057.625,11214.8125,4288.6875,4394.791666666667,4691.791666666667,4493.270833333333,4140.333333333333,3666.7708333333335,3377.3541666666665,5974.479166666667,8860.083333333334,13252.229166666666,4616.625,3172.2291666666665,3868.125,2284.1666666666665,5860.1875,13867.083333333334,3742.1875,6040.0,4203.854166666667,5350.708333333333,24141.479166666668,9055.270833333334,13663.770833333334,2786.9583333333335,0.0,6953.604166666667,10860.645833333334,9016.979166666666,1835.4375,3849.5625,5000.604166666667,6143.729166666667,2935.1666666666665,3468.3125,2834.8333333333335,5826.770833333333,6916.75,4744.5625,5068.708333333333,5137.604166666667,5246.5,11081.395833333334,3240.0208333333335,9452.354166666666,4502.6875,2448.6458333333335,2964.7708333333335,17805.229166666668,7411.875,10788.125,33615.916666666664,31587.0,21264.625,20069.4375,14442.229166666666,10624.770833333334,10153.333333333334,32321.1875,7330.625,18529.166666666668,3650.5208333333335,23290.895833333332,41990.708333333336,7417.270833333333,19468.895833333332,25680.0625,18004.229166666668,9119.479166666666,10508.625,2476.7291666666665,2998.9791666666665,3167.8958333333335,3113.6041666666665,9600.666666666666,19255.291666666668,6428.229166666667,9075.875,29038.916666666668,14047.416666666666,28838.0,9844.895833333334,9208.333333333334,34397.125,13633.541666666666,18917.3125,12930.083333333334,25907.541666666668,27109.75,30006.125,8253.416666666666,17348.541666666668,17857.3125,14362.479166666666,25080.395833333332,24139.291666666668,10303.5,31121.25,20881.520833333332,10870.0625,25446.770833333332,19682.166666666668,8877.416666666666,21774.020833333332,16160.291666666666,22533.770833333332,34250.666666666664,19520.729166666668,20524.708333333332,31399.6875,3653.7083333333335,1194.375,11949.5625,21601.875,17915.041666666668,17951.979166666668,13062.583333333334,33267.208333333336,0.0,2152.0,3304.3333333333335,3644.7708333333335,1018.9791666666666,3524.375,4254.1875,2398.5,1052.3958333333333,156.02083333333334,1203.4583333333333,3071.9166666666665,1908.25,1014.7083333333334,1749.625,2603.3958333333335,3298.0416666666665,1873.3125,2125.125,1663.375,1849.4791666666667,3231.6458333333335,1395.0,1868.2916666666667,4799.416666666667,2334.125,1581.6458333333333,1261.5416666666667,3047.5,2483.5,2879.9375,2467.0208333333335,39091.145833333336,5066.229166666667,4539.145833333333,6209.3125,6279.458333333333,2138.6875,1434.6458333333333,1605.7083333333333,1601.8958333333333,6201.666666666667,3249.3125,2045.0,1803.375,6832.666666666667,2969.5208333333335,2977.3125,6630.125,3733.6875,5965.395833333333
2024-10,2092.195652173913,2527.1521739130435,1997.875,895.7391304347826,2086.1739130434785,3018.3478260869565,2313.1521739130435,1452.4347826086957,26235.666666666668,647.6521739130435,1190.936170212766,1449.804347826087,10507.125,11703.520833333334,4511.916666666667,4714.229166666667,4987.854166666667,4717.208333333333,4286.083333333333,3396.0833333333335,3460.2916666666665,6189.270833333333,9257.875,14221.291666666666,4628.625,3338.3125,4126.9375,2390.9166666666665,5456.041666666667,12957.083333333334,2848.2708333333335,6198.0625,4335.041666666667,5682.854166666667,22688.916666666668,9846.479166666666,13273.4375,2874.5416666666665,0.0,7088.645833333333,11015.083333333334,9000.458333333334,1874.3125,3799.6041666666665,4959.6875,6483.6875,3016.5416666666665,3552.0,2900.2291666666665,6069.0,7192.395833333333,4915.270833333333,5129.145833333333,5339.895833333333,5584.979166666667,11609.375,3409.625,9586.270833333334,4870.6875,2485.4583333333335,3056.375,18533.645833333332,7676.375,10885.729166666666,34397.333333333336,31757.5,22075.083333333332,20856.729166666668,15224.583333333334,11215.333333333334,10504.8125,33406.416666666664,8031.895833333333,16929.708333333332,6629.125,28889.666666666668,43060.625,7905.229166666667,21229.895833333332,28259.104166666668,19906.729166666668,9978.520833333334,10823.541666666666,2703.3125,3158.6666666666665,3496.0416666666665,3361.9791666666665,10012.0,19909.791666666668,6639.3125,9325.541666666666,29601.4375,14476.270833333334,29350.125,10243.416666666666,9137.604166666666,35680.625,14025.854166666666,19584.9375,13386.208333333334,27440.416666666668,28074.791666666668,31016.9375,8547.4375,19701.583333333332,19331.041666666668,14919.520833333334,26253.854166666668,25317.3125,11242.916666666666,32032.375,21775.708333333332,13397.479166666666,26347.125,20652.625,9308.666666666666,22520.541666666668,17086.145833333332,22852.208333333332,35185.8125,19809.916666666668,21088.5,30164.666666666668,3582.5833333333335,1658.5208333333333,12698.291666666666,22733.958333333332,18776.875,18346.083333333332,13569.6875,34954.083333333336,0.0,2214.4583333333335,3440.1875,3786.0416666666665,1047.6666666666667,3692.9375,4361.145833333333,2482.6875,1017.5833333333334,149.5531914893617,1246.4583333333333,3165.5833333333335,2057.0,1053.6458333333333,1852.8958333333333,2695.7083333333335,3397.5625,1959.3958333333333,2166.1458333333335,1724.125,1957.2291666666667,3294.625,1456.4583333333333,1975.7291666666667,4955.833333333333,2422.4166666666665,1648.2083333333333,1287.875,4705.25,2487.3333333333335,2877.0625,2462.625,39221.4375,5171.208333333333,4540.666666666667,6163.229166666667,6398.770833333333,1988.5625,1490.4375,1629.0833333333333,1595.3125,6210.125,3358.875,2048.8125,1822.875,7137.833333333333,3155.75,3143.4166666666665,7050.75,3917.0833333333335,6142.8125
2024-11,1973.5434782608695,2321.5652173913045,1838.2173913043478,840.8723404255319,1905.0869565217392,2736.531914893617,1988.1739130434783,1324.1521739130435,24113.1875,587.9565217391304,1120.9782608695652,1348.3695652173913,9906.520833333334,11073.854166666666,3796.5833333333335,4419.104166666667,4528.583333333333,4229.458333333333,3832.3541666666665,3251.125,3127.5208333333335,5796.479166666667,8501.833333333334,12477.0,4419.020833333333,3124.3541666666665,3926.2916666666665,2274.7916666666665,5191.041666666667,12394.666666666666,2777.2916666666665,5298.3125,3880.2708333333335,4814.895833333333,22142.729166666668,9768.895833333334,13350.625,2411.0416666666665,0.0,6496.625,10178.583333333334,8228.416666666666,1614.1875,3604.3333333333335,4614.354166666667,5779.395833333333,2784.6875,3282.25,2670.875,5544.4375,6740.5625,4626.895833333333,4805.979166666667,4865.3125,5282.3125,10575.479166666666,3139.0,8869.458333333334,4441.9375,2268.7916666666665,2419.7083333333335,17438.3125,7128.583333333333,10271.4375,32917.020833333336,29820.479166666668,20666.979166666668,19610.5625,14500.833333333334,10468.083333333334,9954.479166666666,31789.395833333332,7686.0,15886.979166666666,7300.0625,27419.416666666668,41567.020833333336,7193.833333333333,20032.604166666668,26814.520833333332,18515.875,9472.854166666666,10145.979166666666,2550.125,2983.9583333333335,3170.8333333333335,3170.4166666666665,9185.6875,19102.125,6264.083333333333,8840.5,28094.458333333332,13595.833333333334,28409.333333333332,9388.041666666666,8439.541666666666,33409.541666666664,13020.708333333334,18066.208333333332,12465.125,25444.25,26523.729166666668,28946.125,7729.5,16273.6875,17234.541666666668,13906.3125,24500.291666666668,23597.75,10696.958333333334,30540.479166666668,20359.729166666668,13263.5,24911.229166666668,19053.166666666668,8593.416666666666,21312.5625,16340.375,21970.9375,33200.166666666664,19788.520833333332,20349.041666666668,29290.833333333332,3215.1666666666665,1254.875,11932.875,21466.041666666668,17470.6875,17607.645833333332,12769.333333333334,33127.666666666664,0.0,2047.7291666666667,3162.3958333333335,3507.375,947.4583333333334,3371.9583333333335,4118.520833333333,2313.7291666666665,994.8125,126.22916666666667,1112.9583333333333,2989.125,1859.1041666666667,984.125,1843.8541666666667,2414.3541666666665,3112.1666666666665,1805.2708333333333,2018.9791666666667,1512.5208333333333,1887.9166666666667,3078.9375,1293.3333333333333,1826.6666666666667,4584.145833333333,2162.2291666666665,1511.3958333333333,1192.3541666666667,5280.208333333333,2150.7916666666665,2773.9583333333335,2460.6875,40724.041666666664,4860.458333333333,4291.270833333333,5701.916666666667,6203.666666666667,1718.4791666666667,1357.1458333333333,1539.1041666666667,1503.5,5837.791666666667,2968.25,1879.0208333333333,1711.6041666666667,6624.9375,2917.7083333333335,2933.1458333333335,6475.729166666667,3529.125,5782.729166666667
