"",E Week41,"Cumulative first41Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,0,36,14,14
Acute Hepatitis E,1,1,1,42,27,39
Campylobacteriosis,8,6,8,342,493,375
Cholera,0,0,0,0,7,2
Paratyphoid,0,0,0,8,7,9
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,25,26,30,1008,1029,1243
Typhoid,2,0,0,51,61,33
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,9,20,12
Dengue Fever,215,376,227,7878,28844,12755
Dengue Haemorrhagic Fever,0,0,0,7,38,38
Japanese Encephalitis,0,0,0,0,0,7
Leptospirosis,1,0,0,51,37,23
Malaria,1,0,0,19,11,13
Murine Typhus,2,0,0,14,7,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,26,1,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,2,2
Legionellosis,0,2,0,13,22,16
Measles,0,0,0,6,2,10
Melioidosis,2,0,1,32,22,26
Meningococcal Disease,0,1,0,3,3,6
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox#,2,0,NA,16,19,NA
Mumps,3,3,6,136,135,222
Pertussis,0,0,0,14,0,11
Pneumococcal Disease (Invasive),3,2,2,110,41,41
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,27,25,31
Acute Hepatitis C,1,1,0,14,16,13
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2508,3514,2656,,,NA
Acute Conjunctivitis,58,40,48,,,NA
Acute Diarrhoea,361,351,351,,,NA
Chickenpox,5,3,4,,,NA
"Hand, Foot And Mouth Disease",13,20,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,AUGUST,,Cumulative 2023,,
HIV/AIDS,11,,136,,,
Legally Notifiable STIs,247,,2467,,,
Tuberculosis,126,,829,,,
