,E Week,30,,Cumulative first,30,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,4,1,53,30,18
Acute Hepatitis E,1,3,1,33,24,27
Campylobacteriosis,13,9,9,324,284,294
Cholera,0,0,0,2,0,0
Paratyphoid,1,1,0,11,14,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,32,42,27,741,870,811
Typhoid,2,0,1,33,30,30
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,16,7,7
Dengue Fever,77,309,309,2963,10387,10387
Dengue Haemorrhagic Fever,0,2,1,14,34,30
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,1,45,28,28
Malaria,2,3,1,19,14,9
Murine Typhus,0,0,0,58,35,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,11,9,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,1,1,31,18,11
Measles,0,0,0,14,8,6
Melioidosis,0,0,1,33,35,22
Meningococcal Disease,0,0,0,4,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,0,0,NA,10,10,NA
Mumps,5,4,6,134,149,118
Pertussis,2,1,0,62,60,11
Pneumococcal Disease (Invasive),1,4,1,78,71,35
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,0,16,26,20
Acute Hepatitis C,1,0,0,16,9,9
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2304,2412,2412,,,NA
Acute Conjunctivitis,87,83,48,,,NA
Acute Diarrhoea,493,452,364,,,NA
Chickenpox,4,8,3,,,NA
"Hand, Foot And Mouth Disease",20,43,23,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jun,,Cumulative 2025,,
HIV/AIDS,10,,72,,,
Legally Notifiable STIs,366,,1765,,,
Tuberculosis,91,,500,,,
