"",E Week1,"Cumulative first1Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,2,1,1,2,1
Acute Hepatitis E,0,1,1,0,1,1
Campylobacteriosis,19,13,14,19,13,14
Cholera,2,0,0,2,0,0
Paratyphoid,2,0,0,2,0,0
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,27,21,21,27,21,21
Typhoid,0,1,1,0,1,1
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,1,0,0
Dengue Fever,97,305,279,97,305,279
Dengue Haemorrhagic Fever,0,0,0,0,0,0
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,3,0,0,3,0,0
Malaria,2,0,0,2,0,0
Murine Typhus,3,0,0,3,0,0
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,0,0,0
Measles,1,0,0,1,0,0
Melioidosis,1,0,0,1,0,0
Meningococcal Disease,0,0,0,0,0,0
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,0,0,NA
Mumps,0,2,2,0,2,2
Pertussis,3,1,1,3,1,1
Pneumococcal Disease (Invasive),2,4,2,2,4,2
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,0,1,1,0
Acute Hepatitis C,0,0,0,0,0,0
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2775,2549,2549,,,NA
Acute Conjunctivitis,116,79,69,,,NA
Acute Diarrhoea,474,349,349,,,NA
Chickenpox,6,7,7,,,NA
"Hand, Foot And Mouth Disease",27,14,10,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Dec,,Cumulative 2024,,
HIV/AIDS,8,,137,,,
Legally Notifiable STIs,289,,3440,,,
Tuberculosis,108,,1162,,,
